INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkViolet', 1, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DeepPink', 10, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkSlateBlue', 10, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Arabic', 11, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('SeaShell', 11, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Burmese', 12, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bihari languages', 12, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Tatar', 12, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kirghiz', 13, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Silver', 14, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Azure', 14, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumSlateBlue', 14, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Danish', 14, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sango', 14, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sichuan Yi', 15, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kannada', 15, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Fulah', 15, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('English', 15, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Malay', 16, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('BlanchedAlmond', 16, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Chechen', 17, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Khaki', 17, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Quechua', 17, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Norwegian', 18, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sichuan Yi', 18, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Divehi', 18, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('PapayaWhip', 18, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Orange', 19, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightSalmon', 19, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('GoldenRod', 19, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Turquoise', 19, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Brown', 19, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Pushto', 20, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Chechen', 21, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkKhaki', 21, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('SlateBlue', 21, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Linen', 22, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumSpringGreen', 22, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('IndianRed', 22, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LemonChiffon', 23, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Tomato', 24, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Assamese', 24, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kuanyama', 24, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumTurquoise', 25, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Finnish', 25, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LavenderBlush', 25, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkSlateGray', 25, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Greek', 25, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kongo', 26, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Magenta', 26, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Pushto', 26, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Romanian', 26, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kannada', 27, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Ivory', 27, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Japanese', 27, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Swedish', 27, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Black', 28, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Romanian', 28, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkRed', 28, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DimGray', 28, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Gaelic', 29, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightYellow', 29, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Snow', 29, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Plum', 30, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('RoyalBlue', 30, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightCoral', 30, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LemonChiffon', 30, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Indigo', 30, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Inuktitut', 31, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Russian', 31, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('PaleVioletRed', 32, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Norwegian', 33, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Czech', 34, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Fijian', 34, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kongo', 34, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Estonian', 35, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Tajik', 35, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Cyan', 35, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Indigo', 36, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightCoral', 36, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumVioletRed', 36, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkSeaGreen', 36, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumTurquoise', 37, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Ido', 37, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Breton', 37, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Catalan', 37, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('SaddleBrown', 38, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Lingala', 39, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sardinian', 39, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Somali', 39, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumBlue', 39, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('OliveDrab', 40, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('PaleTurquoise', 40, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Turkmen', 40, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Blue', 40, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bisque', 40, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('South Ndebele', 41, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Snow', 42, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('ForestGreen', 42, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Herero', 42, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkSlateGray', 42, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DeepPink', 42, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('IndianRed', 43, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Chocolate', 43, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Walloon', 44, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('SeaShell', 45, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('RoyalBlue', 45, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Inuktitut', 46, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('PowderBlue', 46, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('HotPink', 46, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bosnian', 46, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightSlateGray', 47, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Catalan', 47, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kurdish', 48, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bambara', 48, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Church Slavic', 48, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Breton', 48, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightSkyBlue', 48, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Romanian', 49, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Orchid', 50, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkOrchid', 50, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('NavajoWhite', 50, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('GoldenRod', 51, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Esperanto', 51, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Faroese', 51, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Central Khmer', 51, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Lime', 52, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Indonesian', 52, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('YellowGreen', 53, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightPink', 53, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('OliveDrab', 53, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('HoneyDew', 54, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightSeaGreen', 54, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kongo', 54, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Inupiaq', 54, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Church Slavic', 54, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Indonesian', 55, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Turkmen', 55, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Hungarian', 55, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Serbian', 55, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Lao', 55, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Chartreuse', 56, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('BlanchedAlmond', 57, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkTurquoise', 58, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Zhuang', 59, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('BlanchedAlmond', 59, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Maori', 59, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Snow', 60, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Slovak', 60, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkGray', 60, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Navajo', 61, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Chichewa', 61, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightPink', 62, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Aquamarine', 62, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Lavender', 63, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('SpringGreen', 63, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Czech', 63, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LemonChiffon', 63, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Swati', 64, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Swedish', 64, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('GoldenRod', 64, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Gaelic', 65, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('AliceBlue', 65, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumPurple', 66, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Snow', 66, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Violet', 66, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkSlateGray', 66, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Icelandic', 66, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sienna', 67, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Czech', 67, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Shona', 67, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('South Ndebele', 67, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Manx', 67, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkTurquoise', 68, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Ganda', 69, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkGray', 70, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Spanish', 70, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Akan', 71, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sienna', 71, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sotho, Southern', 71, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkSeaGreen', 71, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('PaleGreen', 71, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kuanyama', 72, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Gujarati', 72, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Danish', 73, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('FloralWhite', 73, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Magenta', 73, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Romansh', 73, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Rundi', 73, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Coral', 74, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Urdu', 74, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('BlueViolet', 74, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Basque', 75, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Teal', 76, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('GhostWhite', 77, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumSpringGreen', 77, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkSlateBlue', 77, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sotho, Southern', 77, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Arabic', 77, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('MediumOrchid', 78, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Lime', 78, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Crimson', 78, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Marathi', 79, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Samoan', 79, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Central Khmer', 79, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkGoldenRod', 79, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kanuri', 80, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Aymara', 80, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Azerbaijani', 80, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('RosyBrown', 80, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('SeaShell', 80, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sardinian', 81, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Avaric', 81, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('FireBrick', 81, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Inupiaq', 81, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Catalan', 81, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kirghiz', 82, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Northern Sami', 83, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Wolof', 83, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Romanian', 83, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Teal', 83, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Chuvash', 84, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Avestan', 84, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('BlueViolet', 85, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bambara', 85, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Somali', 85, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Slovenian', 86, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Zulu', 86, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DeepSkyBlue', 86, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkGray', 86, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('DarkGoldenRod', 87, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('SlateBlue', 87, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Tan', 87, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sanskrit', 88, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('White', 88, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Snow', 89, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bengali', 89, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Walloon', 90, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sanskrit', 90, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kashmiri', 90, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Japanese', 90, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Pink', 91, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Russian', 91, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('BlanchedAlmond', 91, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bengali', 92, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kalaallisut', 93, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kinyarwanda', 93, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Bambara', 93, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Yellow', 94, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('LightSkyBlue', 94, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Latin', 94, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Coral', 94, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Lavender', 94, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Quechua', 95, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Linen', 95, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Somali', 96, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Chocolate', 96, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('NavajoWhite', 96, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Cyan', 97, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Orange', 98, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Sindhi', 99, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Fulah', 99, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Kashmiri', 100, 'private');
INSERT INTO playlists (name, user_id, visibility) VALUES ('CornflowerBlue', 100, 'public');
INSERT INTO playlists (name, user_id, visibility) VALUES ('Walloon', 100, 'private');
