INSERT INTO member_subscription (user_id, sub_id, role) VALUES (17, 1, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (18, 25, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (30, 25, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (28, 25, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (95, 26, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (43, 26, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (5, 27, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (21, 27, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (27, 27, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (86, 27, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (62, 27, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (48, 27, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (52, 28, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (98, 28, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (39, 28, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (33, 28, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (10, 28, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (78, 28, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (51, 29, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (35, 30, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (13, 31, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (14, 31, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (47, 32, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (32, 33, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (1, 33, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (22, 33, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (91, 33, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (45, 33, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (80, 33, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (71, 34, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (83, 35, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (54, 35, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (87, 36, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (64, 37, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (93, 38, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (31, 39, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (15, 39, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (67, 40, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (99, 41, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (96, 41, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (69, 41, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (82, 41, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (42, 41, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (77, 41, 'member');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (68, 42, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (92, 43, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (12, 44, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (88, 45, 'owner');
INSERT INTO member_subscription (user_id, sub_id, role) VALUES (60, 46, 'owner');
